sampleid,cluster_id,n_cells,celltype1,frac1,celltype2,frac2,celltype3,frac3,method,rank,source,target,score
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,celloracle,6,NR3C1,MT2A,0.077920884
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,celloracle,7,YY1,LTB,0.07487629
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,celloracle,8,ETS1,BIRC3,0.07105671
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,celloracle,9,CREM,NR3C1,0.06443195
imm_atlas_TT_p01,0,1645,"effector memory CD4-positive, alpha-beta T cell",0.2534954407294832,"naive thymus-derived CD4-positive, alpha-beta T cell",0.2534954407294832,T follicular helper cell,0.2401215805471124,celloracle,10,KLF2,CCR7,0.062051367
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,1,JUN,FOS,0.9552690863897828
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,2,JUN,VIM,0.9211481592787292
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,3,JUNB,UBC,0.9117543497799052
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,4,MYC,RPL13,0.896778843442576
imm_atlas_TT_p01,1,1671,"naive thymus-derived CD4-positive, alpha-beta T cell",0.4177139437462597,"effector memory CD4-positive, alpha-beta T cell",0.1938958707360861,T follicular helper cell,0.1406343506882106,astar_path,5,FOS,CD69,0.8955452857332471
