sampleid,cluster_id,method,source,target,rank,score,cluster_rank_for_edge,is_top_cluster_for_edge,fold_vs_max_other_cluster,present_clusters,total_clusters
imm_atlas_TT_p01,0,astar_path,JUN,EZR,55,0.7868342310364096,3,False,0.9288965782712059,7,7
imm_atlas_TT_p01,0,astar_path,SRF,ACTB,56,0.7862225402611835,5,False,0.9421609250743642,7,7
imm_atlas_TT_p01,0,astar_path,JUND,CCL5,57,0.7853605135202519,3,False,0.7853605135194665,7,7
imm_atlas_TT_p01,0,astar_path,FOS,SP3,58,0.7840017576438637,1,True,1.0558821752558913,7,7
imm_atlas_TT_p01,0,astar_path,MYC,RPL23,59,0.7825930139392039,1,True,1.041829117084018,7,7
imm_atlas_TT_p01,0,astar_path,FOS,MYC,60,0.7815266052953261,1,True,1.0291348474693798,7,7
imm_atlas_TT_p01,0,astar_path,FOS,MAF,61,0.7809168551442509,1,True,1.0396356443727532,7,7
imm_atlas_TT_p01,0,astar_path,FOS,ERCC1,62,0.7797450480956513,1,True,1.0573953814567014,7,7
imm_atlas_TT_p01,0,astar_path,CREB1,FOS,63,0.7794580230322812,1,True,1.0494661471935285,7,7
imm_atlas_TT_p01,0,astar_path,STAT1,FOS,64,0.7788476374273051,1,True,1.0175239966608665,7,7
imm_atlas_TT_p01,0,astar_path,NFKB1,JUNB,65,0.7770212106085467,3,False,0.9624219594915063,7,7
imm_atlas_TT_p01,0,astar_path,FOS,DDIT3,66,0.7769780033186865,1,True,1.0193941167155975,7,7
imm_atlas_TT_p01,0,astar_path,JUND,NQO2,67,0.776587043101088,2,False,0.9914611475373576,4,7
imm_atlas_TT_p01,0,astar_path,ETS1,CD3D,68,0.7762725863354842,2,False,0.955034596660372,7,7
imm_atlas_TT_p01,0,astar_path,FOXO3,TXNIP,69,0.775489027268989,1,True,1.0488414327604598,7,7
imm_atlas_TT_p01,0,astar_path,FOS,SMAD7,70,0.7750703611359221,1,True,1.0656465914616495,7,7
imm_atlas_TT_p01,0,astar_path,AHR,FOS,71,0.7748883881585559,1,True,1.0495746262609897,7,7
imm_atlas_TT_p01,0,astar_path,FOS,NFATC1,72,0.7734564074604335,1,True,1.0552653878270546,7,7
imm_atlas_TT_p01,0,astar_path,FOS,CCL5,73,0.7728226514065066,6,False,0.7861095529868068,7,7
imm_atlas_TT_p01,0,astar_path,STAT6,FOS,74,0.7726320651501694,1,True,1.044899951565742,7,7
imm_atlas_TT_p01,0,astar_path,JUND,PLAUR,75,0.7724190635456584,2,False,0.9933997969587623,4,7
imm_atlas_TT_p01,0,astar_path,JUND,MYB,76,0.7717868199781345,2,False,0.9963564498796768,3,7
imm_atlas_TT_p01,0,astar_path,JUND,SOX4,77,0.7707994641835574,2,False,0.993182477513606,4,7
imm_atlas_TT_p01,0,astar_path,ELK4,FOS,78,0.7705518618004132,1,True,1.052690053935143,7,7
imm_atlas_TT_p01,0,astar_path,JUND,FOSL1,79,0.7704581536995893,1,True,1.0247235371141992,3,7
imm_atlas_TT_p01,0,astar_path,JUND,CSTA,80,0.7703202800164819,1,True,1.0256586477120466,3,7
imm_atlas_TT_p01,0,astar_path,FOS,SMAD4,81,0.7675557916290995,1,True,1.0455731184885089,7,7
imm_atlas_TT_p01,0,astar_path,SP1,FOS,82,0.7674464703697936,1,True,1.0564055643601151,7,7
imm_atlas_TT_p01,0,astar_path,FOS,PDHA1,83,0.7668341393404624,1,True,1.0522280283734253,7,7
imm_atlas_TT_p01,0,astar_path,FOS,CDK4,84,0.7665200899755955,1,True,1.0439901436075667,7,7
imm_atlas_TT_p01,0,astar_path,FOS,FAS,85,0.7663861469491428,1,True,1.036149866592533,7,7
imm_atlas_TT_p01,0,astar_path,FOS,ERCC4,86,0.7659283119198081,1,True,1.0622134288457576,7,7
imm_atlas_TT_p01,0,astar_path,ELK1,FOS,87,0.7657488547173379,1,True,1.0569291005721009,7,7
imm_atlas_TT_p01,0,astar_path,FOS,CEBPB,88,0.7657394489354167,1,True,1.0805591108597847,7,7
imm_atlas_TT_p01,0,astar_path,FOS,NEFL,89,0.7632974413684449,1,True,1.0539889627221344,5,7
imm_atlas_TT_p01,0,astar_path,FOS,ACP5,90,0.7623287968861917,1,True,1.0448779699031892,7,7
imm_atlas_TT_p01,0,astar_path,FOS,FASN,91,0.7622854820574178,1,True,1.0558043718247017,7,7
imm_atlas_TT_p01,0,astar_path,JUN,CCND2,92,0.761963019140921,3,False,0.9713474054042052,7,7
imm_atlas_TT_p01,0,astar_path,FOS,BCL2L1,93,0.7619397746905248,1,True,1.0398749936003218,7,7
imm_atlas_TT_p01,0,astar_path,FOS,TP53,94,0.7615076124373876,1,True,1.0544216361840697,7,7
imm_atlas_TT_p01,0,astar_path,FOS,LRIG2,95,0.7606433027473014,1,True,1.055663182165414,7,7
imm_atlas_TT_p01,0,astar_path,FOS,BATF3,96,0.7606115053303296,1,True,1.061578252142589,7,7
imm_atlas_TT_p01,0,astar_path,FOS,IL2RA,97,0.7603862672670847,1,True,1.053207170427754,7,7
imm_atlas_TT_p01,0,astar_path,SRF,FOS,98,0.7601841390807103,1,True,1.0487737828350132,7,7
imm_atlas_TT_p01,0,astar_path,FOS,PLAUR,99,0.7597351090778965,1,True,1.0572095820464218,7,7
imm_atlas_TT_p01,0,astar_path,FOS,IL1B,100,0.759388457430862,1,True,1.102279886866498,5,7
imm_atlas_TT_p01,0,astar_path,FOS,MELTF,101,0.7588137225304832,1,True,1.0579477897203646,6,7
imm_atlas_TT_p01,0,astar_path,FOS,SRR,102,0.7583848920174376,1,True,1.0581725226520593,7,7
imm_atlas_TT_p01,0,astar_path,FOS,NQO1,103,0.7583491269252681,1,True,1.0542981191887817,7,7
imm_atlas_TT_p01,0,astar_path,FOS,STAR,104,0.7581594566398511,1,True,1.1191818404784397,2,7
imm_atlas_TT_p01,0,astar_path,FOS,PLAU,105,0.7578570389549942,1,True,757857038954.9943,1,7
imm_atlas_TT_p01,0,astar_path,FOS,CCL2,106,0.7577752124879522,1,True,1.0548237296104341,4,7
imm_atlas_TT_p01,0,astar_path,FOS,VEGFA,107,0.7577516745563618,1,True,1.0572131938648666,5,7
imm_atlas_TT_p01,0,astar_path,FOS,FOSL1,108,0.7577440161959489,1,True,1.0552122269997917,6,7
imm_atlas_TT_p01,0,astar_path,FOS,CSTA,109,0.7575714578854519,1,True,1.056271401011245,3,7
imm_atlas_TT_p01,0,astar_path,FOS,IL2,110,0.7574054138639432,1,True,1.0558112196118707,7,7
imm_atlas_TT_p01,0,astar_path,FOS,NAT1,111,0.7571835534726014,1,True,1.0559853742936776,7,7
imm_atlas_TT_p01,0,astar_path,FOS,FGF2,112,0.757183517876808,1,True,757183517876.8081,1,7
imm_atlas_TT_p01,0,astar_path,FOS,CXCL8,113,0.7571827286843489,1,True,1.0545914089639081,6,7
imm_atlas_TT_p01,0,astar_path,FOS,MMP9,114,0.7571735244769858,1,True,1.0566735408116354,6,7
imm_atlas_TT_p01,0,astar_path,NFKB1,VIM,115,0.7555723247001594,1,True,1.0297768532661289,7,7
imm_atlas_TT_p01,0,astar_path,JUN,TGFB1,116,0.7552506315630024,4,False,0.9562368384655197,7,7
imm_atlas_TT_p01,0,astar_path,MYC,RPL27,117,0.7517030354199226,1,True,1.0254827983960746,7,7
imm_atlas_TT_p01,0,astar_path,JUN,CREM,118,0.7448503812353331,4,False,0.9048073541847592,7,7
imm_atlas_TT_p01,0,astar_path,MYC,DDX5,119,0.744332481436553,1,True,1.0101710855012929,7,7
imm_atlas_TT_p01,0,astar_path,NFKB1,TNFAIP3,120,0.7439854616942799,1,True,1.0465839229266976,7,7
imm_atlas_TT_p01,0,astar_path,JUN,RHOB,121,0.7436656466197371,2,False,0.9994046822890218,7,7
imm_atlas_TT_p01,0,astar_path,KLF6,ATF3,122,0.7434771648771092,2,False,0.8964073721111407,7,7
imm_atlas_TT_p01,0,astar_path,FOS,SPTBN1,123,0.7405469371191843,1,True,1.0461517729510004,7,7
imm_atlas_TT_p01,0,astar_path,HIF1A,NPM1,124,0.739159187989448,1,True,1.0346157571672774,7,7
imm_atlas_TT_p01,0,astar_path,JUN,TXN,125,0.7385171921726553,4,False,0.9576041710543114,7,7
imm_atlas_TT_p01,0,astar_path,KLF6,LTC4S,126,0.7368722721366177,1,True,1.0249946693312442,7,7
imm_atlas_TT_p01,0,astar_path,KLF6,DAPK2,127,0.7359296161482478,2,False,0.9879571528769331,7,7
imm_atlas_TT_p01,0,astar_path,REL,TNFAIP3,128,0.7355509581849535,2,False,0.9217063476414564,7,7
imm_atlas_TT_p01,0,astar_path,JUN,RUNX2,129,0.734643248107279,1,True,1.0017215642171087,7,7
imm_atlas_TT_p01,0,astar_path,JUN,MYC,130,0.7342692385610097,2,False,0.9538025872054664,7,7
imm_atlas_TT_p01,0,astar_path,MYC,JUN,131,0.7342692385610097,2,False,0.9538025872054664,7,7
imm_atlas_TT_p01,0,astar_path,ETS1,MCL1,132,0.7321419949760106,2,False,0.9865259711051187,7,7
imm_atlas_TT_p01,0,astar_path,JUN,MAT2A,133,0.7316942316776679,3,False,0.9835158008836844,7,7
imm_atlas_TT_p01,0,astar_path,STAT1,JUN,134,0.731528966097363,5,False,0.9705869107205587,7,7
imm_atlas_TT_p01,0,astar_path,MYC,NPM1,135,0.7308314529441734,1,True,1.0250671001112286,7,7
imm_atlas_TT_p01,0,astar_path,MYC,ACTG1,136,0.7307369281005826,4,False,0.9632958839002344,7,7
imm_atlas_TT_p01,0,astar_path,RUNX1,IL7R,137,0.7303720894780804,1,True,1.2250588708954817,6,7
imm_atlas_TT_p01,0,astar_path,MAX,SERF2,138,0.7295271567192416,2,False,0.9736673818292606,7,7
imm_atlas_TT_p01,0,astar_path,JUN,DDIT3,139,0.729417556487598,3,False,0.9440663577239347,7,7
imm_atlas_TT_p01,0,astar_path,JUNB,CDKN2A,140,0.729303288704808,5,False,0.9695493784801541,7,7
imm_atlas_TT_p01,0,astar_path,JUN,APP,141,0.7284507087115909,2,False,0.9855474343850801,7,7
imm_atlas_TT_p01,0,astar_path,JUN,SMAD7,142,0.7276662926669192,4,False,0.94581541835476,7,7
imm_atlas_TT_p01,0,astar_path,JUN,STMN1,143,0.7274573052239387,2,False,0.9817470656894607,7,7
imm_atlas_TT_p01,0,astar_path,ETS1,LCP1,144,0.7271883628583615,2,False,0.9068433557813217,7,7
imm_atlas_TT_p01,0,astar_path,NFIC,JUN,145,0.7269495727481543,2,False,0.9599264760640985,7,7
imm_atlas_TT_p01,0,astar_path,JUN,CAST,146,0.7266460357307603,3,False,0.985623211342341,7,7
imm_atlas_TT_p01,0,astar_path,MEF2D,JUN,147,0.7261260929051266,4,False,0.9753217164443977,7,7
