sampleid,cluster_id,method,n_edges_before_collectri,n_edges_collectri,collectri_retention,top10_available,top10_mean_score,top20_available,top20_mean_score,top50_available,top50_mean_score,top100_available,top100_mean_score,top200_available,top200_mean_score
imm_atlas_TT_p01,0,astar_path,1841,415,0.2254209668658338,10,0.9227262929402285,20,0.903402490101681,50,0.8557318739134296,100,0.8140990672211835,200,0.7711418663030374
imm_atlas_TT_p01,0,celloracle,120686,2582,0.021394362229256086,10,0.0860701736,20,0.07029953385,50,0.05121521644,100,0.037143499840000004,200,0.02498158851
imm_atlas_TT_p01,0,scenic,12261,273,0.022265720577440664,10,256.2319988497638,20,188.69533547957312,50,95.25611826533837,100,53.54885408957173,200,28.652861658238372
imm_atlas_TT_p01,1,astar_path,1589,479,0.3014474512271869,10,0.9000321586790931,20,0.8747334206560368,50,0.8291551725120375,100,0.7914827751815756,200,0.7595157362278246
imm_atlas_TT_p01,1,celloracle,120686,2582,0.021394362229256086,10,0.1159192735,20,0.09471890629999999,50,0.0639775144,100,0.04571634959,200,0.0318130358275
imm_atlas_TT_p01,1,scenic,11686,304,0.026014033886702037,10,431.45779159872427,20,276.1075532236463,50,137.73649814076296,100,76.41626692955556,200,40.599844045550824
imm_atlas_TT_p01,10,astar_path,1464,419,0.28620218579234974,10,0.8630432407304636,20,0.8408873273053505,50,0.7968973808855239,100,0.7535137000688609,200,0.7154208883388707
imm_atlas_TT_p01,10,celloracle,120686,2582,0.021394362229256086,10,0.11102712600000002,20,0.09019850785000001,50,0.06100126827999999,100,0.04278519668,200,0.029513461655000003
imm_atlas_TT_p01,10,scenic,10945,234,0.0213796253997259,10,201.89525445738616,20,137.65044004986805,50,69.9749504072348,100,38.32034293571157,200,20.410232381207166
imm_atlas_TT_p01,2,astar_path,1819,469,0.25783397471137987,10,0.9399883870282266,20,0.8977628821026636,50,0.8445369061009034,100,0.7938256191528055,200,0.748918782899305
imm_atlas_TT_p01,2,celloracle,120686,2582,0.021394362229256086,10,0.106165187,20,0.08317745500000001,50,0.05814580016000001,100,0.040799537860000006,200,0.026844138485000002
imm_atlas_TT_p01,2,scenic,9858,208,0.021099614526273076,10,193.09946979525267,20,136.2690646335259,50,68.82023632063414,100,37.24807007197598,200,19.42880362478563
imm_atlas_TT_p01,3,astar_path,1666,497,0.29831932773109243,10,0.9075569774521298,20,0.8711743725831637,50,0.8224664291002891,100,0.7810819606913306,200,0.7396557080945533
imm_atlas_TT_p01,3,celloracle,120686,2582,0.021394362229256086,10,0.22428780399999998,20,0.1563639985,50,0.0946327005,100,0.06327267766,200,0.04121355064499999
imm_atlas_TT_p01,3,scenic,11997,291,0.024256064016004,10,215.76470259978055,20,165.99741202424278,50,95.03374793827543,100,55.20799411605579,200,29.46461234212119
imm_atlas_TT_p01,6,astar_path,1480,424,0.2864864864864865,10,0.8693331193878044,20,0.8449992964076858,50,0.805090446886594,100,0.766090378404187,200,0.7267039711965515
imm_atlas_TT_p01,6,celloracle,120686,2582,0.021394362229256086,10,0.16154712799999998,20,0.12597395475,50,0.08282954999999999,100,0.05729532145999999,200,0.038785752315
imm_atlas_TT_p01,6,scenic,12765,326,0.02553858206032119,10,334.155751505834,20,227.80156414983304,50,125.29459056485678,100,72.23140687284325,200,38.81854296125563
imm_atlas_TT_p01,9,astar_path,1449,414,0.2857142857142857,10,0.8715851785334191,20,0.8495800968451304,50,0.7975203197444383,100,0.7516976370374978,200,0.7108545227969484
imm_atlas_TT_p01,9,celloracle,120686,2582,0.021394362229256086,10,0.18971322699999998,20,0.14809776525,50,0.09627340924000002,100,0.06717587115,200,0.045395925225
imm_atlas_TT_p01,9,scenic,13321,285,0.021394790180917347,10,241.76791425082138,20,167.9529044406534,50,94.88067420972382,100,55.160139807597176,200,29.456739853316538
