tf,n_seeds,astar_coherence_mean,astar_coherence_sd,program_shuffle_mean_mean,program_shuffle_mean_sd,random_paths_coherence_mean,random_paths_coherence_sd,delta_vs_program_mean,delta_vs_program_sd,delta_vs_random_mean,delta_vs_random_sd,within_seed_z_mean,within_seed_z_sd,program_delta_positive_seeds,random_delta_positive_seeds
HIF1A,5,0.3287576382304931,0.07404969156125434,0.27717571906967126,0.020821526661482022,0.1611324786324786,0.01826546544893752,0.051581919160821756,0.07165254838513094,0.16762515959801444,0.08472248800018262,0.973553444557492,1.2148796244973457,4,5
MEF2A,5,0.43229866018114854,0.053294249906221565,0.2474839357920186,0.03618842442226982,0.11694303815210379,0.015208773766122285,0.18481472438912988,0.06591964573655805,0.3153556220290447,0.06549537905789467,3.7857966625560295,1.1669567240831564,5,5
MEF2C,5,0.269147291005547,0.048447741272884995,0.2151270236890114,0.019548738306916884,0.11245339612592153,0.016857504052993813,0.05402026731653562,0.04000669943587004,0.1566938948796255,0.06159226829988912,1.3227850421152718,1.1802956977925736,5,5
