lineage,Edge_generic,AUCell_generic,Edge_curated,Edge_augment,AUCell_augment
T cell CD4,0.6091409363172113,0.658243728369574,0.6879449150941284,0.7962301913065823,0.8844559046648951
T cell CD8,0.6854600421709128,0.6530801465715491,0.7477684395400841,0.9560282039403896,0.9514703335270632
B cell,0.6702239563643618,0.8173331478965269,0.7462841506811059,0.9535880094394344,0.9678512446330464
NK cell,0.958252064812106,0.9350100650064104,0.952352155209658,0.9880867246852864,0.9911609672110404
Macrophage,0.7009945368420067,0.7468217088862157,0.7211705420630306,0.965443829622012,0.9633636780383156
cDC,0.7573284780187028,0.6970061436380781,0.8270579655539483,0.8319002632957441,0.8435557051310726
