track,bin,axis_lo,axis_hi,axis_center,n_cells,mean,sd,sem,ci95_lo,ci95_hi
A*,1,-1.8102460387258819,-0.21418251216153572,-1.012214275443709,18941,0.006940566205856189,0.0049437293919495995,3.592139867082013e-05,0.006870160264461382,0.007010972147250997
A*,2,-0.21418251216153572,0.02681345303646912,-0.0936845295625333,18940,0.006517834446655022,0.004736688771641046,3.441793916547949e-05,0.006450375285890682,0.006585293607419362
A*,3,0.02681345303646912,0.21145587690206843,0.11913466496926878,18940,0.006225556570197282,0.004600945768718972,3.3431597304751144e-05,0.006160030639479969,0.0062910825009145944
A*,4,0.21145587690206843,0.37912947816559767,0.29529267753383304,18940,0.006081961274676623,0.004514732134215405,3.280514794938203e-05,0.0060176631846958345,0.006146259364657411
A*,5,0.37912947816559767,0.5439118012205346,0.4615206396930661,18940,0.0059615067086795995,0.004496747350177686,3.267446610965034e-05,0.005897464755104685,0.006025548662254514
A*,6,0.5439118012205346,0.7215911398057817,0.6327514705131582,18940,0.006035933814325133,0.0044787974447286945,3.254403770627533e-05,0.005972147500420833,0.006099720128229433
A*,7,0.7215911398057817,0.9172304299115103,0.819410784858646,18940,0.00627198187468921,0.004460967192809207,3.2414478734711844e-05,0.006208449496369175,0.006335514253009245
A*,8,0.9172304299115103,1.1135011694235204,1.0153657996675154,18940,0.0067224967536025325,0.004424074835179407,3.2146409840640585e-05,0.006659489790314877,0.006785503716890188
A*,9,1.1135011694235204,1.2870143586010128,1.2002577640122665,18940,0.006951158748463973,0.004351223199411619,3.161705203630828e-05,0.006889189326472808,0.007013128170455137
A*,10,1.2870143586010128,1.4342258381533934,1.3606200983772032,18940,0.007081674816935054,0.004224331640964236,3.069502693611538e-05,0.007021512564140268,0.00714183706972984
A*,11,1.4342258381533934,1.5624624646339582,1.4983441513936757,18940,0.007120018642063812,0.0041144057383367995,2.9896278440754404e-05,0.007061421936319934,0.007178615347807691
A*,12,1.5624624646339582,1.6748803291155667,1.6186713968747624,18940,0.007044194175646471,0.0040530156361573725,2.9450202942861376e-05,0.006986471777878462,0.007101916573414479
A*,13,1.6748803291155667,1.7802716489354253,1.727575989025496,18940,0.007022962278937245,0.004047329271152819,2.9408884423905436e-05,0.00696532086546639,0.007080603692408099
A*,14,1.7802716489354253,1.8813205996096394,1.8307961242725324,18940,0.006897976866981378,0.003989338717663132,2.898751087829057e-05,0.006841161345659929,0.006954792388302828
A*,15,1.8813205996096394,1.980469355944431,1.9308949777770352,18940,0.00674285442764112,0.003928895886670112,2.8548318484531843e-05,0.006686899723411437,0.006798809131870803
A*,16,1.980469355944431,2.0847479910829882,2.0326086735137094,18940,0.006659897968392861,0.003946614246060048,2.8677064417607713e-05,0.00660369092213435,0.006716105014651372
A*,17,2.0847479910829882,2.199764103795543,2.1422560474392656,18940,0.0064635293086820166,0.003911009412064593,2.8418350985180103e-05,0.006407829340751064,0.006519229276612969
A*,18,2.199764103795543,2.3368635976407437,2.268313850718143,18940,0.006289119263050295,0.003918793447909297,2.8474911693531665e-05,0.006233308436130973,0.006344930089969617
