track,n_pathways,n_edges_total,n_edges_mean,cell_mean,cell_sd,pearson_r_axis,spearman_r_axis
A*,6,36,6.0,0.006528560403192123,0.004279110263764398,-0.007194392156818733,-0.0061076212837568155
prior,6,422,70.33333333333333,0.003801268463312878,0.002149225521894461,-0.04752258696956821,-0.04809758303405899
random,6,36,6.0,0.0009398320827657384,0.001079632731148835,-0.003939659195992372,0.04229156330851869
injected IRX4,1,5,5.0,0.0022621979204538152,0.00635483588120029,0.24398741651668432,0.2866058608097766
gold NRG1,1,1,1.0,0.0015821487144350834,0.007686429180009276,-0.07659338011799224,-0.07443458390209536
